nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
129,mlock,ok,long,2,unsigned long start,size_t len,,,,
130,mlockall,ok,long,1,int flags,,,,,
131,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
132,mremap,ok,long,5,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,
133,msync,ok,long,3,unsigned long start,size_t len,int flags,,,
134,munlock,ok,long,2,unsigned long start,size_t len,,,,
135,munlockall,ok,long,0,,,,,,
136,sched_getparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
137,sched_setparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
138,sched_getscheduler,ok,long,1,pid_t pid,,,,,
139,sched_setscheduler,ok,long,3,pid_t pid,int policy,struct sched_param * param,,,
140,sched_yield,ok,long,0,,,,,,
141,sched_get_priority_max,ok,long,1,int policy,,,,,
142,sched_get_priority_min,ok,long,1,int policy,,,,,
143,sched_rr_get_interval,ok,long,2,pid_t pid,struct __kernel_timespec * interval,,,,
144,nanosleep,ok,long,2,struct __kernel_timespec * rqtp,struct __kernel_timespec * rmtp,,,,
145,nfsservctl,todo,,,,,,,,
146,prctl,ok,long,5,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
147,old_getpagesize,ok,unsigned long,0,,,,,,
148,mmap2,ok,unsigned long,6,unsigned long addr,unsigned long len,int prot,int flags,int fd,long pgoff
149,pciconfig_read,ok,long,5,unsigned long bus,unsigned long dfn,unsigned long off,unsigned long len,void * buf,
150,pciconfig_write,ok,long,5,unsigned long bus,unsigned long dfn,unsigned long off,unsigned long len,void * buf,
151,perfmonctl,todo,,,,,,,,
152,sigaltstack,ok,long,2,const stack_t * uss,stack_t * uoss,,,,
153,rt_sigaction,ok,long,4,int sig,const struct sigaction * act,struct sigaction * oact,size_t sigsetsize,,
154,rt_sigpending,ok,long,2,sigset_t * uset,size_t sigsetsize,,,,
155,rt_sigprocmask,ok,long,4,int how,sigset_t * nset,sigset_t * oset,size_t sigsetsize,,
156,rt_sigqueueinfo,ok,long,3,pid_t pid,int sig,siginfo_t * uinfo,,,
157,rt_sigreturn,ok,long,1,struct pt_regs * regs,,,,,
158,rt_sigsuspend,ok,long,2,sigset_t * unewset,size_t sigsetsize,,,,
159,rt_sigtimedwait,ok,long,4,const sigset_t * uthese,siginfo_t * uinfo,const struct __kernel_timespec * uts,size_t sigsetsize,,
160,getcwd,ok,long,2,char * buf,unsigned long size,,,,
161,capget,ok,long,2,cap_user_header_t header,cap_user_data_t dataptr,,,,
162,capset,ok,long,2,cap_user_header_t header,const cap_user_data_t data,,,,
163,sendfile,ok,long,4,int out_fd,int in_fd,off_t * offset,size_t count,,
164,getpmsg,todo,,,,,,,,
165,putpmsg,todo,,,,,,,,
166,socket,ok,long,3,int family,int type,int protocol,,,
167,bind,ok,long,3,int fd,struct sockaddr * umyaddr,int addrlen,,,
168,connect,ok,long,3,int fd,struct sockaddr * uservaddr,int addrlen,,,
169,listen,ok,long,2,int fd,int backlog,,,,
170,accept,ok,long,3,int fd,struct sockaddr * upeer_sockaddr,int * upeer_addrlen,,,
171,getsockname,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
172,getpeername,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
173,socketpair,ok,long,4,int family,int type,int protocol,int * usockvec,,
174,send,ok,long,4,int fd,void * buff,size_t len,unsigned int flags,,
175,sendto,ok,long,6,int fd,void * buff,size_t len,unsigned int flags,struct sockaddr * addr,int addr_len
176,recv,ok,long,4,int fd,void * ubuf,size_t size,unsigned int flags,,
177,recvfrom,ok,long,6,int fd,void * ubuf,size_t size,unsigned int flags,struct sockaddr * addr,int * addr_len
178,shutdown,ok,long,2,int fd,int how,,,,
179,setsockopt,ok,long,5,int fd,int level,int optname,char * optval,int optlen,
180,getsockopt,ok,long,5,int fd,int level,int optname,char * optval,int * optlen,
181,sendmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
182,recvmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
183,pivot_root,ok,long,2,const char * new_root,const char * put_old,,,,
184,mincore,ok,long,3,unsigned long start,size_t len,unsigned char * vec,,,
185,madvise,ok,long,3,unsigned long start,size_t len_in,int behavior,,,
186,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
187,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
188,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
189,clone2,missing,,,,,,,,
